,Unnamed: 0,right_ascension_angle,declination_angle,ultraviolet_filter,green_filter,red_filter,near_infrared_filter,infrared_filter,run_ID,cam_col,field_ID,spec_obj_ID,redshift,plate,MJD,fiber_ID,class
61098,61098,37.5731331164925,-4.60148926238203,22.36342,22.75465,22.24936,21.46029,22.63921,7881.0,3.0,272.0,1.0492318266533632e+19,0.7122424,9319.0,58043.0,207.0,0
7910,7910,201.415008643661,28.4466739858781,20.81219,18.6436,17.46469,17.00734,16.62973,4646.0,2.0,57.0,2.2540555200233736e+18,0.1760666,2002.0,53471.0,14.0,0
16830,16830,16.209173228548,1.20593366352878,23.46767,22.74075,22.42805,21.75157,21.89775,7717.0,1.0,438.0,1.057584679146254e+19,0.722084,9393.0,58100.0,978.0,0
99314,99314,227.78824496309,-2.48692599265041,23.78443,21.55066,19.6664,18.9624,18.57298,2379.0,2.0,124.0,4.522787294193932e+18,0.3539826,4017.0,55329.0,172.0,0
16319,16319,13.2244543863478,0.976820131790029,22.55163,20.00598,18.58368,17.961,17.60029,4263.0,6.0,204.0,1.2701734688344248e+18,1.206578e-05,1128.0,52637.0,576.0,2
6635,6635,2.20380411675796,5.02508838973956,22.53138,22.62122,21.63238,20.55413,20.60273,7727.0,4.0,81.0,4.83820832602537e+18,0.7788144,4297.0,55806.0,787.0,0
99148,99148,30.5735289700855,32.4272161764357,23.18568,22.13355,22.13044,21.98444,22.04367,7781.0,4.0,124.0,7.436779001560194e+18,0.9014589,6605.0,56565.0,764.0,0
10710,10710,40.0000006690331,0.673407405782746,22.13958,19.8645,18.7653,18.34224,18.15528,2820.0,5.0,133.0,1.204855330547198e+18,-0.0001357252,1070.0,52591.0,518.0,2
9054,9054,167.378185123522,20.0534493716864,25.40007,21.483,19.87101,19.10928,18.74362,5313.0,6.0,56.0,6.617115339372385e+18,0.4358687,5877.0,56041.0,733.0,0
55632,55632,142.799204050666,6.04192111861359,23.68984,22.32407,20.53684,19.69777,19.35683,2986.0,5.0,162.0,5.484334686867315e+18,0.4637298,4871.0,55928.0,277.0,0
81301,81301,355.012642819829,1.07693057347549,22.79812,22.52144,21.71057,21.48061,21.03264,4188.0,6.0,76.0,1.0332469616836893e+19,1.217175,9177.0,58044.0,313.0,1
28240,28240,348.427043152154,0.759544909726725,24.96051,22.47959,20.31562,19.45607,19.01059,4188.0,5.0,32.0,4.739131877499361e+18,0.4500364,4209.0,55478.0,797.0,0
91454,91454,211.493007942217,43.6852678556988,23.58595,23.38286,21.49569,20.36863,19.55141,3716.0,2.0,164.0,9.573705429793657e+18,0.7293549,8503.0,57519.0,649.0,0
20594,20594,136.288861335344,20.0906555811176,24.23573,22.05722,20.19716,19.29403,18.85137,5061.0,2.0,149.0,6.495502209954108e+18,0.4737388,5769.0,56246.0,675.0,0
16960,16960,190.629784268704,29.1877387296997,20.53151,19.06403,18.50714,18.3062,18.21864,4649.0,2.0,59.0,2.7832859375331185e+18,1.167273e-05,2472.0,54175.0,223.0,2
44472,44472,131.845845041979,55.1851987249455,22.28777,22.66387,21.57948,20.68456,19.94981,3600.0,3.0,19.0,8.302390699246246e+18,0.881255,7374.0,56751.0,17.0,0
73823,73823,233.062368497156,16.2031037375925,23.78874,21.7443,19.88688,19.03021,18.56692,5330.0,5.0,26.0,4.434940443403508e+18,0.4525938,3939.0,55633.0,75.0,0
12586,12586,127.806149949091,28.4365410730212,25.72115,22.6434,20.68248,19.65076,19.20075,3606.0,3.0,26.0,5.016137340466518e+18,0.5174615,4455.0,55539.0,921.0,0
41841,41841,124.065583502095,37.9852671670151,22.11895,21.90704,21.51361,21.55155,21.18233,2825.0,5.0,124.0,1.0537547227316115e+19,0.968424,9359.0,58056.0,909.0,0
79300,79300,143.702305579498,56.3458351603654,22.45124,21.70065,21.5853,21.32599,21.22188,2074.0,6.0,162.0,8.382339762594534e+18,-0.0009402503,7445.0,56720.0,54.0,2
86874,86874,180.203551449258,54.887253854779,18.91186,17.85584,17.26947,16.88844,16.71017,2821.0,3.0,184.0,1.14508175722207e+18,0.1350838,1017.0,52706.0,151.0,0
65146,65146,198.292194319059,5.32838373983504,18.61598,17.37513,16.76448,16.40369,16.18927,2247.0,5.0,250.0,9.571757636169504e+17,0.04879481,850.0,52338.0,585.0,0
54436,54436,57.045494574833,1.09661921478455,21.39581,19.45185,18.47461,17.93246,17.65551,4849.0,6.0,836.0,1.3984680634053038e+18,0.1635174,1242.0,52901.0,365.0,0
65704,65704,218.729650928141,54.6588852856945,26.16922,22.57823,20.5814,19.39015,18.85731,3225.0,2.0,76.0,7.556054844605486e+18,0.6092767,6711.0,56388.0,511.0,0
86434,86434,180.908069812651,54.7536048328908,21.67176,21.16236,20.35156,19.5997,19.18982,2821.0,3.0,187.0,7.530173440801922e+18,0.6843311,6688.0,56412.0,563.0,0
18146,18146,177.291878008396,39.0312575072397,18.78024,17.34738,16.83482,16.47783,16.25473,3900.0,2.0,335.0,2.2180564083922964e+18,0.05555582,1970.0,53386.0,122.0,0
81046,81046,166.341744493737,-1.61349381051263,20.81226,20.29708,19.81521,19.56394,19.20926,1140.0,5.0,90.0,4.2640568189748736e+18,2.058909,3787.0,55565.0,996.0,1
82088,82088,195.703610427538,6.79773185800022,23.87771,21.4831,21.3851,21.70005,21.49131,3842.0,2.0,97.0,5.447258326084901e+18,3.137935,4838.0,55686.0,562.0,1
83799,83799,114.825353689152,65.1481762785987,19.42659,17.98527,17.39201,17.19146,17.08002,5060.0,1.0,159.0,3.3147093250117734e+18,2.361498e-05,2944.0,54523.0,218.0,2
23915,23915,193.892875879705,37.2858756560332,22.22103,21.64026,21.51254,21.01163,21.10116,4470.0,4.0,64.0,9.985812557729126e+18,1.665625,8869.0,57481.0,750.0,1
33079,33079,220.179021301264,42.710771078738,17.79608,16.23045,15.56904,15.2198,14.95392,3699.0,6.0,189.0,1.5719132774478907e+18,0.04037908,1396.0,53112.0,571.0,0
31827,31827,171.563560544617,38.9715156719209,21.91563,20.87115,19.65009,19.97222,19.26584,3900.0,3.0,305.0,2.24733035656488e+18,0.3367354,1996.0,53436.0,124.0,1
11431,11431,346.225797326852,0.694428894253606,22.76337,22.75583,22.34369,22.42808,21.53896,4188.0,5.0,18.0,1.0363959624269584e+19,0.7585362,9205.0,57711.0,185.0,0
